task_name,BDDL checked - Sanjana - first round semantics,BDDL checked - Sharon - second round semantics,BDDL checked - Ruohan - final check and simulatability,Sanjana's counter,Sharon's counter,,Ruohan's counter,,
make a cappuccino,1,1,1,og tm,,,,,
make a cheese pastry,1,1,1,og tm,,,,,
make a christmas gift box,1,1,1,,,,,,
make a clothes line,1,1,1,assembly,,,,,
make a frappe,1,1,1,og tm,,,,,
make a milkshake,1,1,1,og tm,,,,,
make a mojito,1,1,1,,,,,,
make a red meat sauce,1,1,1,og tm,9:16,,,,
make a salad,1,1,1,,,,,,
make a sandwich,1,1,1,,,,,,
make a small vegetable garden,1,1,1,,,,,,
make a steak,1,1,1,,,,,,
make a strawberry slushie,1,1,1,,,,,,
make a sugar and coffee scrub,1,?,1,,,,,,
make a tropical breakfast,1,1,1,no longer tm - csv deprecated,,,,,
make a vinegar cleaning solution,1,1,1,og tm,8:25,,,,
make a wiener schnitzle,1,1,1,og tm,~8:30,,,,
make an iced espresso,1,1,1,og tm,7:35,,,,
make applesauce,1,1,1,og tm,,,,,
make bagels,1,1,1,og tm,,,,,
make baked pears,1,1,1,,,,,,
make batter,1,1,1,og tm,,,,,
make beef and broccoli,1,1,1,,,,,,
make bento,1,1,1,,,,,,
make biscuits,1,1,1,og tm,7:55,,,,
make blueberry mousse,1,1,1,og tm,~7,,,,
make brownies,1,1,1,og tm,,,,,
make burrito bowls,1,1,1,,,,,,
make cabinet doors,1,1,1,,,,,,
make cake filling,1,1,1,og tm,,,,,
make cake mix,1,1,1,og tm,,,,,
make chicken and waffles,1,1,1,,,,,,
make chicken curry,1,1,1,og tm,~9,,,,
make chicken fajitas,1,1,1,,,,,,
make chocolate biscuits,1,1,1,og tm,,,,,
make chocolate milk,1,1,1,og tm,,,,,
make chocolate spread,1,1,1,og tm,,,,,
make chocolate syrup,1,1,1,og tm,,,,,
make cinnamon sugar,1,1,1,og tm,,,,,
make citrus punch,1,1,1,og tm,,,,,
make coffee,1,1,1,og tm,,,,,
make cookie dough,1,1,1,og tm,,,,,
make cookies,1,1,1,og tm,,,,,
make cream from milk,1,1,1,og tm,,,,,
make cream soda,1,1,1,og tm,,,,,
make dinner rolls,1,1,1,og tm,,,,,
make dinosaur goody bags,1,1,1,"nothing about these is actually ""dinosaur""",,,,,
make edible chocolate chip cookie dough,1,1,1,og tm,,,,,
make fish and chips,1,1,1,asset check on deep fryer,,,,,
make fried rice,1,1,1,,,,,,
make fruit punch,1,1,1,og tm,,,,,
make garlic mushrooms,1,1,1,,,,,,
make gift bags for baby showers,1,1,1,,,,,,
make granola,1,1,1,og tm,,,,,
make green tea latte,1,1,1,og tm,,,,,
make homemade bird food,1,1,1,og tm,,,,,
make hot cocoa,1,1,1,og tm,,,,,
make ice,1,1,1,og tm,,,,,
make iced chocolate,1,1,1,og tm,,,,,
make iced tea,1,1,1,og tm,,,,,
make instant coffee,1,1,1,og tm,,,,,
make jamaican jerk seasoning,1,1,1,og tm,,,,,
make king prawns with garlic,1,1,1,,,,,,
make lemon or lime water,1,1,1,suggestion: no longer tm - csv deprecated,,,,,
make lemon pepper seasoning,1,1,1,og tm,,,,,
make lemon pepper wings,1,1,1,og tm (deprecating tm),,,,,
make lemon stain remover,1,1,1,og tm,,,,,
make lemonade,1,1,1,og tm,,,,,
make limeade,1,1,1,og tm,,,,,
make macaroni and cheese,1,1,1,og tm,,,,,
make meatloaf,1,1,1,og tm,,,,,
make muffins,1,1,1,og tm,,,,,
make mustard herb and spice seasoning,1,1,1,og tm,,,,,
make nachos,1,1,1,og tm (deprecating tm),,,,,
make oatmeal,1,1,1,og tm,,,,,
make onion ring batter,1,1,1,og tm,,,,,
make party favors from candy,1,1,1,,,,,,
make pasta sauce,1,1,1,og tm,,,,,
make pastry,1,1,1,og tm,,,,,
make pizza,1,1,1,og tm,,,,,
make pizza dough,1,1,1,og tm,,,,,
make pizza sauce,1,1,1,og tm,,,,,
make popsicles,1,1,1,og tm,,,,,
make pumpkin pie spice,1,1,1,og tm,,,,,
make red beans and rice,1,1,1,,,,,,
make rose centerpieces,1,1,1,,,,,,
make seafood stew,1,1,1,og tm,,,,,
make soup,1,1,1,og tm,,,,,
make spa water,1,1,1,og tm (deprecating tm),,,,,
make stew,1,1,1,og tm,,,,,
make stewed fruit,1,1,1,,,,,,
make strawberries and cream,1,1,1,,,,,,
make tacos,1,1,1,,,,,,
make the ultimate spa basket,1,1,1,,,,,,
make the workplace exciting,1,1,1,,,,,,
make toast,1,1,1,,,,,,
make tomato rice,1,1,1,og tm,,,,,
make waffles,1,1,1,og tm,,,,,
make watermelon punch,1,1,1,og tm,,,,,
make white wine sauce,1,1,1,og tm,,,,,
make yams,1,1,1,,,,,,
making a drink,1,1,1,,,,,,
making a meal,1,1,1,cook pasta in hot water,,,,,
making a snack,1,1,1,melting grated cheese,,,,,
making coffee,1,1,1,og tm,,,,,
making photocopies,1,1,1,remove task,,,,,
making tea,1,1,1,,,,,,
making the bed,1,1,1,,,,,,
mixing drinks,1,1,1,,,,,,
mopping floors,1,1,1,,,,,,
mopping the kitchen floor,1,1,1,,,,,,
moving boxes to storage,1,1,1,,,,,,
moving stuff to storage,1,1,1,,,,,,
mowing the lawn,1,1,1,,,,,,
mulching,1,1,1,,,,,,
opening doors,1,1,1,,,,,,
opening windows,1,1,1,,,,,,
organise a linen closet,1,1,1,,,,,,
organizing art supplies,1,1,1,,,,,,
organizing boxes in garage,1,1,1,,,,,,
organizing file cabinet,1,1,1,,,,,,
organizing items for yard sale,1,1,1,,,,,,
organizing office documents,1,1,1,,,,,,
organizing school stuff,1,1,1,,,,,,
organizing skating stuff,1,1,1,,,,,,
organizing volunteer materials,1,1,1,,,,,,
outfit a basic toolbox,1,1,1,,,,,,
pack a beach bag,1,1,1,,,,,,
pack a pencil case,1,1,1,,,,,,
pack for the pool,1,1,1,,,,,,
pack your gym bag,1,1,1,,,,,,
packing adult's bags,1,1,1,,,,,,
packing art supplies into car,1,1,1,,,,,,
packing bags or suitcase,1,1,1,,,,,,
packing books into car,1,1,1,,,,,,
packing boxes for household move or trip,1,1,1,,,,,,
packing car for trip,1,1,1,,,,,,
packing child s bag,1,1,1,,,,,,
packing child's supplies into car,,,,b100,,,,,
packing cleaning suppies into car,1,1,1,,,,,,
packing documents into car,1,1,1,,,,,,
packing fishing gear into car,1,1,1,,,,,,
packing food for work,1,1,1,,,,,,
packing grocery bags into car,1,1,1,,,,,,
packing hiking equipment into car,1,1,1,,,,,,
packing hobby equipment,1,1,1,,,,,,
packing lunches,1,1,1,,,,,,
packing meal for delivery,1,1,1,,,,,,
packing moving van,1,1,1,,,,,,
packing picnic food into car,1,1,1,,,,,,
packing picnic into car,1,1,1,,,,,,
packing recreational vehicle for trip,1,1,1,,,,,,
packing sports equipment into car,1,1,1,,,,,,
painting house exterior,1,1,1,,,,,,
painting porch,1,1,1,need porch synset from Cem,,,,,
passing out drinks,1,1,1,,,,,,
paying for purchases,1,1,1,,,,,,
picking fruit and vegetables,1,1,1,,,,,,
picking up baggage,1,1,1,,,,,,
picking up books at library,1,1,1,,,,,,
picking up clothes,1,1,1,,,,,,
picking up litter,1,1,1,,,,,,
picking up prescriptions,1,1,1,,,,,,
picking up take-out food,1,1,1,,,,,,
picking up toys,1,1,1,,,,,,
picking up trash,1,1,1,,,,,,
picking vegetables in garden,1,1,1,,,,,,
place houseplants around your home,1,1,1,,,,,,
planting flowers,1,1,1,,,,,,
planting plants,1,1,1,,,,,,
planting trees,1,1,1,,,,,,
planting vegetables,1,1,1,,,,,,
polish copper,1,1,1,,,,,,
polish cymbals,1,1,1,,,,,,
polish gold,1,1,1,,,,,,
polish pewter,1,1,1,,,,,,
polish rocks,1,1,1,,,,,,
polish wood floors,1,1,1,,,,,,
polish a car,1,1,1,fix name,,,,,
polishing furniture,1,1,1,,,,,,
polishing shoes,1,1,1,,,,,,
polishing silver,1,1,1,,,,,,
pour a glass of wine,1,1,1,,,,,,
pour beer,1,1,1,,,,,,
pouring water in a glass,1,1,1,,,,,,
praeparing lunch box,1,1,1,,,,,,
prepare a boat for fishing,1,1,1,,,,,,
prepare a breakfast bar,1,1,1,,,,,,
prepare a filling breakfast,1,1,1,,,,,,
prepare a hanging basket,1,1,1,,,,,,
prepare a raised bed garden,1,1,1,,,,,,
prepare a slow dinner party,1,1,1,,,,,,
prepare an emergency school kit,1,1,1,,,,,,
prepare and cook prawns,1,1,1,,,,,,
prepare and cook swiss chard,1,1,1,,,,,,
prepare baking pans,1,1,1,,,,,,
prepare make ahead breakfast bowls,1,1,1,,,,,,
prepare quinoa,1,1,1,transition map,,,,,
prepare sea salt soak,1,1,1,,,,,,
prepare wine and cheese,1,1,1,,,,,,
prepare your garden for a cat,1,1,1,,,,,,
prepare your garden for winter,1,1,1,,,,,,
preparing clothes for the next day,1,1,1,,,,,,
preparing existing coffee,1,1,1,,,,,,
preparing food for a fundraiser,1,1,1,,,,,,
preparing food for adult,1,1,1,,,,,,
preparing food for company,1,1,1,,,,,,
preparing food or drink for sale,1,1,1,,,,,,
preserving food,1,1,1,,,,,,
preserving fruit,1,1,1,,,,,,
preserving meat,1,1,1,,,,,,
preserving vegetables,1,1,1,,,,,,
put together a goodie bag,1,1,1,,,,,,
put together a scrapping tool kit,1,1,1,,,,,,
put togethera basic pruning kit,1,1,1,,,,,,
puttiing away bicycles,1,1,1,name change,,,,,
putting away Christmas decorations,1,1,1,,,,,,
putting away cleaning supplies,1,1,1,,,,,,
putting away games,1,1,1,,,,,,
putting away Halloween decorations,1,1,1,,,,,,
putting away purchased clothes,1,1,1,,,,,,
putting away tools,1,1,1,,,,,,
putting away toys,1,1,1,,,,,,
putting away yard equipment,1,1,1,,,,,,
putting bike in garage,1,1,1,,,,,,
putting birdseed in cage,1,1,1,,,,,,
putting clean laundry away,1,1,1,,,,,,
putting clothes in storage,1,1,1,,,,,,
putting clothes into closet,1,1,1,,,,,,
putting dirty dishes in sink,1,1,1,,,,,,
putting dishes away after cleaning,1,1,1,,,,,,
putting food in fridge,1,1,1,,,,,,
putting in a hot tub,1,1,1,,,,,,
putting in a pool,,,,asset check,,,,,
putting laundry in drawer,1,1,1,check scene,,,,,
putting leftovers away,1,1,1,,,,,,
putting meal in fridge at work,1,1,1,,,,,,
putting on license plates,1,1,1,,,,,,
putting on registration stickers,1,1,1,,,,,,
putting on tags (car),1,1,1,,,,,,
putting out cat food,1,1,1,,,,,,
putting out clean towels,1,1,1,,,,,,
putting out condiments,1,1,1,,,,,,
putting out dog food,1,1,1,,,,,,
putting pesticides on lawn,1,1,1,,,,,,
putting protective cover on vehicle,1,1,1,,,,,,
putting roast in oven,1,1,1,,,,,,
putting shoes on rack,1,1,1,,,,,,
putting shopping away,1,1,1,,,,,,
putting tablecloth on table,1,1,1,,,,,,
putting towels in bathroom,1,1,1,,,,,,
putting up Christmas decorations inside,1,1,1,,,,,,
putting up Christmas decorations outside,1,1,1,,,,,,
putting up Christmas lights inside,1,1,1,,,,,,
putting up Christmas lights outside,1,1,1,,,,,,
putting up outdoor holiday decorations,1,1,1,,,,,,
putting up posters,1,1,1,,,,,,
putting up shelves,1,1,1,,,,,,
putting up wallpaper,1,1,1,,,,,,
putting wood in fireplace,1,1,1,asset check: we have a fireplace?,,,,,
rack wine,1,1,0,remove task,,,,,
raking leaves,1,1,1,,,,,,
re-shelving library books,1,1,1,,,,,,
rearrange your room,1,1,1,,,,,,
rearranging furniture,1,1,1,,,,,,
rearranging kitchen furniture,1,1,1,,,,,,
recycling glass bottles,1,1,1,,,,,,
recycling newspapers,1,1,1,,,,,,
recycling office papers,1,1,1,,,,,,
reheat frozen or chilled food,1,1,1,,,,,,
remove a broken light bulb,1,1,1,,,,,,
remove a wall mirror,1,1,1,,,,,,
remove hard water spots,1,1,1,special cleaning fluid,,,,,
remove ice from gutters,1,1,0,remove task,,,,,
remove scorch marks,1,1,1,,,,,,
remove sod,1,1,1,,,,,,
remove spots from linen,1,1,1,special cleaning fluid,,,,,
removing ice from walkways,1,1,1,,,,,,
removing lint from dryer,1,1,1,,,,,,
repairs to furniture,1,1,1,,,,,,
replacing screens,,,,remove task,,,,,
returning consumer goods,1,1,1,,,,,,
returning videotapes to store,1,1,1,,,,,,
rinsing dishes,1,1,1,asset check,,,,,
roast meat,1,1,1,,,,,,
roast nuts,1,1,1,,,,,,
roast vegetables,1,1,1,,,,,,
sanding wood furniture,1,1,1,,,,,,
saute vegetables,1,1,1,,,,,,
scraping snow off vehicle,1,1,1,,,,,,
scrubbing bathroom floor,1,1,1,,,,,,
selling products at flea market,1,1,1,,,,,,
sending packages,1,1,1,asset check,,,,,
serving a meal,1,1,1,,,,,,
serving food at a homeless shelter,1,0,1,team discussion,,,,,
serving food on the table,1,1,1,,,,,,
serving hors d oeuvres,1,1,1,,,,,,
set a dinner table,1,1,1,,,,,,
set a fancy table,1,0,1,,,,,,
set a table for a tea party,1,1,1,,,,,,
set up a bird cage,1,1,1,,,,,,
set up a buffet,1,1,1,,,,,,
set up a coffee station in your kitchen,1,1,1,,,,,,
set up a home office in your garage,1,1,1,,,,,,
set up a hot dog bar,1,1,1,,,,,,
set up a mouse cage,1,1,1,asset check: do we have the right hutch?,,,,,
set up a preschool classroom,1,1,1,,,,,,
set up a webcam,1,1,1,,,,,,
set up two computer monitors,,,,remove task,,,,,
setting mousetraps,1,1,1,,,,,,
setting table for coffee,1,1,1,,,,,,
setting the fire,1,1,1,,,,,,
setting the table,1,1,1,,,,,,
setting up bedroom for guest,1,1,1,,,,,,
setting up for an event,1,1,1,,,,,,
setting up garden furniture,1,1,1,,,,,,
setting up living room for guest,1,1,1,,,,,,
setting up room for a movie,1,1,1,,,,,,
setting up room for games,1,1,1,,,,,,
setting up silent auction,1,1,1,,,,,,
setup a baby crib,1,1,1,,,,,,
setup a bar for a cocktail party,1,1,1,,,,,,
setup a fish tank,1,1,1,,,,,,
setup a garden party,1,1,1,,,,,,
setup a trampoline,1,1,1,,,,,,
shampooing carpet,1,1,1,,,,,,
shoveling coal,1,1,1,,,,,,
shoveling snow,1,1,1,,,,,,
slicing vegetables,1,1,1,,,,,,
sorting art supplies,1,1,1,,,,,,
sorting books on shelf,1,1,1,,,,,,
"sorting bottles, cans, and paper",1,1,1,,,,,,
sorting clothes,1,1,1,,,,,,
sorting clothing,1,1,1,,,,,,
sorting groceries,1,1,1,,,,,,
sorting household items,1,1,1,,,,,,
sorting items for garage sale,1,1,1,,,,,,
sorting laundry,1,1,1,,,,,,
sorting mail,1,1,1,,,,,,
sorting newspapers for recycling,1,1,1,,,,,,
sorting potatoes,1,1,1,,,,,,
sorting volunteer materials,1,1,1,,,,,,
spray stucco,1,1,1,,,,,,
spraying for bugs,1,1,1,,,,,,
spraying fruit trees,1,1,1,,,,,,
spring clean your skateboard,1,1,1,,,,,,
stacking wood,1,1,1,,,,,,
staining wood furniture,1,1,1,,,,,,
stock a bar,1,1,1,,,,,,
stock grocery shelves,1,1,1,,,,,,
store a fur coat,1,1,1,,,,,,
store a kayak,1,1,1,,,,,,
store a quilt,1,1,1,,,,,,
store an uncooked turkey,1,1,1,,,,,,
store baby clothes,1,1,1,,,,,,
store baking soda,1,1,1,,,,,,
store batteries,1,1,1,,,,,,
store beer,1,1,1,,,,,,
store brownies,1,1,1,,,,,,
store christmas lights,1,1,1,,,,,,
store coffee beans or ground coffee,1,1,1,,,,,,
store daffodil bulbs,1,1,1,,,,,,
store feta cheese,1,1,1,,,,,,
store firewood,1,1,1,,,,,,
store firewood outdoors,1,1,1,,,,,,
store loose leaf tea,1,1,1,,,,,,
store nuts,1,1,1,,,,,,
store produce,1,1,1,,,,,,
store rugs,1,1,1,,,,,,
store silver coins,1,1,1,,,,,,
store tulip bulbs,1,1,1,,,,,,
store vodka,1,1,1,,,,,,
store winter coats,1,1,1,,,,,,
storing food,1,1,1,,,,,,
storing the groceries,1,1,1,,,,,,
stripping furniture,1,1,1,,,,,,
sweeping floors,1,1,1,,,,,,
sweeping garage,1,1,1,,,,,,
sweeping outside entrance,1,1,1,,,,,,
sweeping patio,1,1,1,,,,,,
sweeping porch,1,1,1,,,,,,
sweeping steps,1,1,1,,,,,,
taking clothes off of the drying rack,1,1,1,,,,,,
taking clothes off the line,1,1,1,,,,,,
taking clothes out of the dryer,1,1,1,,,,,,
taking clothes out of washer,1,1,1,,,,,,
taking down curtains,1,1,1,,,,,,
taking fish out of freezer,1,1,1,,,,,,
taking trash outside,1,1,1,,,,,,
thaw frozen fish,1,1,1,,,,,,
thawing frozen food,1,1,1,,,,,,
throwing away leftovers,,,1,b100,,,,,
throwing out used napkins,1,1,1,,,,,,
tidy your garden,1,1,1,,,,,,
tidying bathroom,1,1,1,,,,,,
tidying bedroom,1,1,1,,,,,,
tidying living room,1,1,1,,,,,,
tidying up wardrobe,1,1,1,,,,,,
toast buns,1,1,1,,,,,,
toast sunflower seeds,1,1,1,,,,,,
treating clothes,1,1,1,special cleaning fluid,,,,,
treating spot,1,1,1,,,,,,
treating stains,1,1,1,,,,,,
turn off a normal school calculator,1,1,1,,,,,,
turning off the hot tub,1,1,1,,,,,,
turning on radio,1,1,1,,,,,,
turning on the hot tub,1,1,1,,,,,,
turning out all lights before sleep,1,1,1,,,,,,
turning sprinkler off,1,1,1,,,,,,
turning sprinkler on,1,1,1,,,,,,
unhook a fish,1,1,1,,,,,,
unloading groceries,1,1,1,,,,,,
unloading shopping from car,1,1,1,,,,,,
unloading shopping items,1,1,1,,,,,,
unloading the car,1,1,1,,,,,,
unpacking car for trip,1,1,1,,,,,,
unpacking child's bag,1,1,1,,,,,,
unpacking hobby equipment,1,1,1,,,,,,
unpacking moving van,1,1,1,,,,,,
unpacking recreational vehicle for trip,1,1,1,,,,,,
unpacking suitcase,1,1,1,,,,,,
vacuuming floors,1,1,1,,,,,,
vacuuming vehicles,1,1,1,,,,,,
warm tortillas,1,1,1,,,,,,
wash a backpack,1,1,1,,,,,,
wash a baseball cap,1,1,1,,,,,,
wash a bra,1,1,1,washer transition rule - include detergent as requirement,,,,,
wash a leotard,1,1,1,,,,,,
wash a motorcycle,1,1,1,,,,,,
wash a wool coat,1,1,1,,,,,,
wash an infant car seat,1,1,1,,,,,,
wash baby bottles,1,1,1,,,,,,
wash delicates in the laundry,1,1,1,"asset check, washer transition map rule (closed, toggled on, detergent)",,,,,
wash dog toys,1,1,1,,,,,,
wash duvets,1,1,1,,,,,,
wash fruit and vegetables,1,1,1,,,,,,
wash goalkeeper gloves,1,1,1,,,,,,
wash grapes,1,1,1,,,,,,
wash jeans,1,1,1,,,,,,
wash lettuce,1,1,1,,,,,,
wash towels,1,1,1,,,,,,
wash your bike,1,1,1,,,,,,
washing bowls,1,1,1,,,,,,
washing cars or other vehicles,1,1,1,,,,,,
washing curtains,1,1,1,,,,,,
washing dishes,1,1,1,,,,,,
washing fabrics,1,1,1,special cleaning fluid (mixed water and detergent),,,,,
washing floor,1,1,1,,,,,,
washing outside walls,1,1,1,,,,,,
washing outside windows,1,1,1,special cleaning fluid (diluted vinegar),,,,,
washing plates,1,1,1,,,,,,
washing pots and pans,1,1,1,,,,,,
washing utensils,1,1,1,,,,,,
washing vegetables,1,1,1,,,,,,
washing walls,1,1,1,,,,,,
washing windows,1,1,1,,,,,,
water your lawn efficiently,1,1,1,,,,,,
watering houseplants,1,1,1,,,,,,
watering indoor flowers,1,1,1,,,,,,
watering outdoor flowers,1,1,1,,,,,,
watering outdoor plants,1,1,1,plants should be particle remover,,,,,
waxing cars or other vehicles,1,1,1,,,,,,
waxing floors,1,1,1,,,,,,
wrap silverware,1,1,1,,,,,,
make dessert watermelons,1,1,1,,,,,,
cook chorizo,1,1,1,,,,,,
clean a guitar,1,1,1,,,,,,
hang a rug on a wall,1,1,1,,,,,,
dispose of medication,1,1,1,,,,,,
make curry rice,1,1,1,,,,,,
sorting vegetables,1,1,1,,,,,,
buy salad greens,1,1,1,,,,,,
cook seafood paella,1,1,1,,,,,,
cook chickpeas,1,1,1,,,,,,
clean pearls,1,1,1,,,,,,
store bobby pins,1,1,1,,,,,,
make eggnog,1,1,1,og tm,,,,,
freeze pies,1,1,1,,,,,,
cook a ham,1,1,1,,,,,,
cook a pumpkin,1,1,1,,,,,,
buy fish,1,1,1,,,,,,
buy basic garden tools,1,1,1,,,,,,
buy food for camping,1,1,1,,,,,,
cook lasagne,1,1,1,,,,,,
cook pumpkin seeds,1,1,1,,,,,,
decorating for religious ceremony,1,1,1,,,,,,
bottling wine,1,1,1,,,,,,
buy natural beef,1,1,1,,,,,,
buy natural supplements,1,1,1,,,,,,
buy school supplies,1,1,1,,,,,,
buying gardening supplies,1,1,1,,,,,,
laying out snacks at work,1,1,1,,,,,,
lighting fireplace,1,1,1,,,,,,
make microwave popcorn,1,1,1,,,,,,
melt white chocolate,1,1,1,,,,,,
make cinnamon toast,1,1,1,,,,,,
preparing lunch box,1,1,1,,,,,,
putting backpack in car for school,1,1,1,,,,,,
putting meal on plate,1,1,1,,,,,,
stash snacks in your room,1,1,1,,,,,,
