rule_name,prune,input_synsets,input_states,container,container_input_relation,heat_source,output_synsets,output_states,container_output_relation,timesteps
sugar_cookies,0,sugar_cookie_dough.n.01_(i),not cooked sugar_cookie_dough.n.01_(i),cookie_sheet.n.01_(j),ontop sugar_cookie_dough.n.01_(i) cookie_sheet.n.01_(j),oven.n.01_(k),sugar_cookie.n.01_(l) and sugar_cookie.n.01_(m) and sugar_cookie.n.01_(n) and sugar_cookie.n.01_(o) and sugar_cookie.n.01_(p) and sugar_cookie.n.01_(q),cooked sugar_cookie.n.01_(l) and cooked sugar_cookie.n.01_(m) and cooked sugar_cookie.n.01_(n) and cooked sugar_cookie.n.01_(o) and cooked sugar_cookie.n.01_(p) and cooked sugar_cookie.n.01_(q),ontop sugar_cookie.n.01_(l) cookie_sheet.n.01_(j) and ontop sugar_cookie.n.01_(m) cookie_sheet.n.01_(j) and ontop sugar_cookie.n.01_(n) cookie_sheet.n.01_(j) and ontop sugar_cookie.n.01_(o) cookie_sheet.n.01_(j) and ontop sugar_cookie.n.01_(p) cookie_sheet.n.01_(j) and ontop sugar_cookie.n.01_(q) cookie_sheet.n.01_(j),
salt_water,0,water.n.06_(i) and salt.n.02_(j),,stockpot.n.01_(k),filled stockpot.n.01_(k) salt.n.02_(j) and filled stockpot.n.01_(k) water.n.06_(i),stove.n.01_(l),seawater.n.01_(m),,contains stockpot.n.01_(k) seawater.n.01_(m),
cheese_tarts,0,pastry.n.01_(i) and cheese_pastry_filling.n.01_(j),not cooked pastry.n.01_(i) and covered pastry.n.01_(i) cheese_pastry_filling.n.01_(j),cookie_sheet.n.01_(k),ontop pastry.n.01_(i) cookie_sheet.n.01_(k),oven.n.01_(l),cheese_tart.n.01_(l) and cheese_tart.n.01_(m) and cheese_tart.n.01_(n) and cheese_tart.n.01_(o) and cheese_tart.n.01_(p) and cheese_tart.n.01_(q),cooked cheese_tart.n.01_(l) and cooked cheese_tart.n.01_(m) and cooked cheese_tart.n.01_(n) and cooked cheese_tart.n.01_(o) and cooked cheese_tart.n.01_(p) and cooked cheese_tart.n.01_(q),ontop cheese_tart.n.01_(l) cookie_sheet.n.01_(k) and ontop cheese_tart.n.01_(m) cookie_sheet.n.01_(k) and ontop cheese_tart.n.01_(n) cookie_sheet.n.01_(k) and ontop cheese_tart.n.01_(o) cookie_sheet.n.01_(k) and ontop cheese_tart.n.01_(p) cookie_sheet.n.01_(k) and ontop cheese_tart.n.01_(q) cookie_sheet.n.01_(k),
red_meat_sauce,0,tomato_sauce.n.01_(i) and olive_oil.n.01_(j) and clove.n.03_(k) and clove.n.03_(l) and clove.n.03_(m) and basil.n.03_(n) and basil.n.03_(o) and basil.n.03_(p) and basil.n.03_(q) and ground_beef.n.01_(r) and rosemary.n.02_(s),,saucepan.n.01_(t),contains saucepan.n.01_(t) tomato_sauce.n.01_(i) and contains saucepan.n.01_(t) olive_oil.n.01_(j) and inside clove.n.03_(k) saucepan.n.01_(t) and inside clove.n.03_(l) saucepan.n.01_(t) and inside clove.n.03_(m) saucepan.n.01_(t) and inside basil.n.03_(n) saucepan.n.01_(t) and inside basil.n.03_(o) saucepan.n.01_(t) and inside basil.n.03_(p) saucepan.n.01_(t) and inside basil.n.03_(q) saucepan.n.01_(t) and contains saucepan.n.01_(t) ground_beef.n.01_(r) and contains saucepan.n.01_(t) rosemary.n.02_(s),stove.n.01_(v),cooked__red_meat_sauce.n.01_(u),,contains saucepan.n.01_(t) cooked__red_meat_sauce.n.01_(u),
schnitzel,0,cooking_oil.n.01_(i) and flour.n.01_(j) and raw_egg.n.01_(k) and salt.n.02_(l) and veal.n.01_(m) and breadcrumb.n.01_(n),not cooked raw_egg.n.01_(k) and not cooked veal.n.01_(m),frying_pan.n.01_(o),contains frying_pan.n.01_(o) cooking_oil.n.01_(i) and contains frying_pan.n.01_(o) flour.n.01_(j) and inside raw_egg.n.01_(k) frying_pan.n.01_(o) and contains frying_pan.n.01_(o) salt.n.02_(l) and inside veal.n.01_(m) frying_pan.n.01_(o) and contains frying_pan.n.01_(o) breadcrumb.n.01_(n),stove.n.01_(p),schnitzel.n.01_(q),not cooked schnitzel.n.01_(q),inside schnitzel.n.01_(q) frying_pan.n.01_(o),
applesauce,0,apple.n.01_(i) and apple.n.01_(j) and apple.n.01_(k) and water.n.06_(l) and lemon_juice.n.01_(m) and cinnamon.n.03_(n) and granulated_sugar.n.01_(o),not cooked apple.n.01_(i) and not cooked apple.n.01_(j) and not cooked apple.n.01_(k),saucepan.n.01_(p),inside apple.n.01_(i) saucepan.n.01_(p) and inside apple.n.01_(j) saucepan.n.01_(p) and inside apple.n.01_(k) saucepan.n.01_(p) and contains saucepan.n.01_(p) water.n.06_(l) and contains saucepan.n.01_(p) lemon_juice.n.01_(m) and contains saucepan.n.01_(p) cinnamon.n.03_(n) and contains saucepan.n.01_(p) granulated_sugar.n.01_(o),stove.n.01_(q),applesauce.n.01_(r),,contains saucepan.n.01_(p) applesauce.n.01_(r),
bagels,0,raw_egg.n.01_(i) and bagel_dough.n.01_(j) and sesame_seed.n.01_(k),not cooked raw_egg.n.01_(i) and not cooked bagel_dough.n.01_(j) and ontop raw_egg.n.01_(i) bagel_dough.n.01_(j) and covered bagel_dough.n.01_(j) sesame_seed.n.01_(k),cookie_sheet.n.01_(m),ontop bagel_dough.n.01_(j) cookie_sheet.n.01_(m),oven.n.01_(l),bagel.n.01_(n) and bagel.n.01_(o) and bagel.n.01_(p) and bagel.n.01_(q),cooked bagel.n.01_(n) and cooked bagel.n.01_(o) and cooked bagel.n.01_(p) and cooked bagel.n.01_(q),ontop bagel.n.01_(n) cookie_sheet.n.01_(m) and ontop bagel.n.01_(o) cookie_sheet.n.01_(m) and ontop bagel.n.01_(p) cookie_sheet.n.01_(m) and ontop bagel.n.01_(q) cookie_sheet.n.01_(m),
biscuits,0,biscuit_dough.n.01_(i),not cooked biscuit_dough.n.01_(i),cookie_sheet.n.01_(k),ontop biscuit_dough.n.01_(i) cookie_sheet.n.01_(k),oven.n.01_(j),biscuit.n.01_(l) and biscuit.n.01_(m) and biscuit.n.01_(n) and biscuit.n.01_(o),cooked biscuit.n.01_(l) and cooked biscuit.n.01_(m) and cooked biscuit.n.01_(n) and cooked biscuit.n.01_(o),ontop biscuit.n.01_(l) cookie_sheet.n.01_(k) and ontop biscuit.n.01_(m) cookie_sheet.n.01_(k) and ontop biscuit.n.01_(n) cookie_sheet.n.01_(k) and ontop biscuit.n.01_(o) cookie_sheet.n.01_(k),
blueberry_compote,0,lemon_juice.n.01_(i) and granulated_sugar.n.01_(j) and blueberry.n.02_(k),,saucepan.n.01_(v),contains saucepan.n.01_(v) lemon_juice.n.01_(i) and contains saucepan.n.01_(v) granulated_sugar.n.01_(j) and contains saucepan.n.01_(v) blueberry.n.02_(k),stove.n.01_(u),blueberry_compote.n.01_(w),,contains saucepan.n.01_(v) blueberry_compote.n.01_(w),
chicken_curry,0,diced__chicken_breast.n.01_(i) and diced__beefsteak_tomato.n.01_(j) and diced__vidalia_onion.n.01_(k) and cooking_oil.n.01_(l) and curry_powder.n.01_(m),,stockpot.n.01_(n),contains stockpot.n.01_(n) diced__chicken_breast.n.01_(i) and contains stockpot.n.01_(n) diced__beefsteak_tomato.n.01_(j) and contains stockpot.n.01_(n) diced__vidalia_onion.n.01_(k) and contains stockpot.n.01_(n) cooking_oil.n.01_(l) and contains stockpot.n.01_(n) curry_powder.n.01_(m),stove.n.01_(o),chicken_curry.n.01_(p),,contains stockpot.n.01_(n) chicken_curry.n.01_(p),
chocolate_syrup,0,granulated_sugar.n.01_(i) and seawater.n.01_(j) and vanilla.n.02_(l) and cocoa_powder.n.01_(m),,saucepan.n.01_(o),contains saucepan.n.01_(o) granulated_sugar.n.01_(i) and contains saucepan.n.01_(o) seawater.n.01_(j) and contains saucepan.n.01_(o) vanilla.n.02_(l) and contains saucepan.n.01_(o) cocoa_powder.n.01_(m),stove.n.01_(n),chocolate_sauce.n.01_(p),,contains saucepan.n.01_(o) chocolate_sauce.n.01_(p),
spice_cookies,0,spice_cookie_dough.n.01_(i),not cooked spice_cookie_dough.n.01_(i),cookie_sheet.n.01_(j),ontop spice_cookie_dough.n.01_(i) cookie_sheet.n.01_(j),oven.n.01_(k),spice_cookie.n.01_(l) and spice_cookie.n.01_(m) and spice_cookie.n.01_(n) and spice_cookie.n.01_(o) and spice_cookie.n.01_(p) and spice_cookie.n.01_(q),cooked spice_cookie.n.01_(l) and cooked spice_cookie.n.01_(m) and cooked spice_cookie.n.01_(n) and cooked spice_cookie.n.01_(o) and cooked spice_cookie.n.01_(p) and cooked spice_cookie.n.01_(q),ontop spice_cookie.n.01_(l) cookie_sheet.n.01_(j) and ontop spice_cookie.n.01_(m) cookie_sheet.n.01_(j) and ontop spice_cookie.n.01_(n) cookie_sheet.n.01_(j) and ontop spice_cookie.n.01_(o) cookie_sheet.n.01_(j) and ontop spice_cookie.n.01_(p) cookie_sheet.n.01_(j) and ontop spice_cookie.n.01_(q) cookie_sheet.n.01_(j),
baps,0,roll_dough.n.01_(i),not cooked roll_dough.n.01_(i),cookie_sheet.n.01_(j),ontop roll_dough.n.01_(i) cookie_sheet.n.01_(j),oven.n.01_(k),bap.n.01_(l) and bap.n.01_(m) and bap.n.01_(n) and bap.n.01_(o),cooked bap.n.01_(l) and cooked bap.n.01_(m) and cooked bap.n.01_(n) and cooked bap.n.01_(o),ontop bap.n.01_(l) cookie_sheet.n.01_(j) and ontop bap.n.01_(m) cookie_sheet.n.01_(j) and ontop bap.n.01_(n) cookie_sheet.n.01_(j) and ontop bap.n.01_(o) cookie_sheet.n.01_(j),
granola,0,oat.n.02_(i) and honey.n.01_(j) and cinnamon.n.03_(k) and pecan.n.03_(l) and raisin.n.01_(m),,cookie_sheet.n.01_(o),contains cookie_sheet.n.01_(o) oat.n.02_(i) and contains cookie_sheet.n.01_(o) honey.n.01_(j) and contains cookie_sheet.n.01_(o) cinnamon.n.03_(k) and contains cookie_sheet.n.01_(o) pecan.n.03_(l) and contains cookie_sheet.n.01_(o) raisin.n.01_(m),oven.n.01_(n),granola.n.01_(p),,contains cookie_sheet.n.01_(o) granola.n.01_(p),
cocoa,0,cocoa_powder.n.01_(i) and whole_milk.n.01_(j) and granulated_sugar.n.01_(k) and vanilla.n.02_(l),,saucepan.n.01_(m),contains saucepan.n.01_(m) cocoa_powder.n.01_(i) and contains saucepan.n.01_(m) whole_milk.n.01_(j) and contains saucepan.n.01_(m) granulated_sugar.n.01_(k) and contains saucepan.n.01_(m) vanilla.n.02_(l),stove.n.01_(n),cocoa.n.01_(o),,contains saucepan.n.01_(m) cocoa.n.01_(o),
ice_cubes,0,water.n.06_(i),,icetray.n.02_(j),filled icetray.n.02_(j) water.n.06_(i),deep-freeze.n.02_(k),ice_cube.n.01_(l) and ice_cube.n.01_(m) and ice_cube.n.01_(n) and ice_cube.n.01_(o) and ice_cube.n.01_(p) and ice_cube.n.01_(q),,inside ice_cube.n.01_(l) icetray.n.02_(j) and inside ice_cube.n.01_(m) icetray.n.02_(j) and inside ice_cube.n.01_(n) icetray.n.02_(j) and inside ice_cube.n.01_(o) icetray.n.02_(j) and inside ice_cube.n.01_(p) icetray.n.02_(j) and inside ice_cube.n.01_(q) icetray.n.02_(j),
cheese_sauce,0,cream_cheese.n.01_(i) and butter.n.01_(j) and whole_milk.n.01_(k) and grated_cheese.n.01_(l) and parmesan.n.01_(m) and salt.n.02_(n),,saucepan.n.01_(p),contains saucepan.n.01_(p) cream_cheese.n.01_(i) and inside butter.n.01_(j) saucepan.n.01_(p) and contains saucepan.n.01_(p) whole_milk.n.01_(k) and contains saucepan.n.01_(p) grated_cheese.n.01_(l) and contains saucepan.n.01_(p) parmesan.n.01_(m) and contains saucepan.n.01_(p) salt.n.02_(n),stove.n.01_(o),cheese_sauce.n.01_(q),,contains saucepan.n.01_(p) cheese_sauce.n.01_(q),
macaroni_and_cheese,0,cooked__noodle.n.01_(i) and breadcrumb.n.01_(j) and cheese_sauce.n.01_(k),,casserole.n.02_(m),contains casserole.n.02_(m) cooked__noodle.n.01_(i) and contains casserole.n.02_(m) breadcrumb.n.01_(j) and contains casserole.n.02_(m) cheese_sauce.n.01_(k),oven.n.01_(l),macaroni_and_cheese.n.01_(n),cooked macaroni_and_cheese.n.01_(n),inside macaroni_and_cheese.n.01_(n) casserole.n.02_(m),
meatloaf,0,ground_beef.n.01_(i) and whole_milk.n.01_(j) and diced__vidalia_onion.n.01_(k) and breadcrumb.n.01_(l) and brown_sugar.n.01_(m),,casserole.n.02_(n),contains casserole.n.02_(n) ground_beef.n.01_(i) and contains casserole.n.02_(n) whole_milk.n.01_(j) and contains casserole.n.02_(n) diced__vidalia_onion.n.01_(k) and contains casserole.n.02_(n) breadcrumb.n.01_(l) and contains casserole.n.02_(n) brown_sugar.n.01_(m),oven.n.01_(o),meat_loaf.n.01_(p),cooked meat_loaf.n.01_(p),inside meat_loaf.n.01_(p) casserole.n.02_(n),
muffins,0,muffin_batter.n.01_(i),,cookie_sheet.n.01_(k),filled cookie_sheet.n.01_(k) muffin_batter.n.01_(i),oven.n.01_(j),muffin.n.01_(l) and muffin.n.01_(m) and muffin.n.01_(n) and muffin.n.01_(o) and muffin.n.01_(p) and muffin.n.01_(q),cooked muffin.n.01_(l) and cooked muffin.n.01_(m) and cooked muffin.n.01_(n) and cooked muffin.n.01_(o) and cooked muffin.n.01_(p) and cooked muffin.n.01_(q),ontop muffin.n.01_(l) cookie_sheet.n.01_(k) and ontop muffin.n.01_(m) cookie_sheet.n.01_(k) and ontop muffin.n.01_(n) cookie_sheet.n.01_(k) and ontop muffin.n.01_(o) cookie_sheet.n.01_(k) and ontop muffin.n.01_(p) cookie_sheet.n.01_(k) and ontop muffin.n.01_(q) cookie_sheet.n.01_(k),
oatmeal,0,seawater.n.01_(i) and cinnamon.n.03_(j) and honey.n.01_(k) and oat.n.02_(l) and low-fat_milk.n.01_(m),,saucepot.n.01_(o),contains saucepot.n.01_(o) seawater.n.01_(i) and contains saucepot.n.01_(o) cinnamon.n.03_(j) and contains saucepot.n.01_(o) honey.n.01_(k) and contains saucepot.n.01_(o) oat.n.02_(l) and contains saucepot.n.01_(o) low-fat_milk.n.01_(m),stove.n.01_(p),oatmeal.n.01_(q),,contains saucepot.n.01_(o) oatmeal.n.01_(q),
marinara,0,half__beefsteak_tomato.n.01_(i) and half__beefsteak_tomato.n.01_(j) and half__beefsteak_tomato.n.01_(k) and half__beefsteak_tomato.n.01_(l) and half__beefsteak_tomato.n.01_(m) and half__beefsteak_tomato.n.01_(n) and clove.n.03_(o) and clove.n.03_(p) and clove.n.03_(q) and clove.n.03_(r) and clove.n.03_(s) and diced__vidalia_onion.n.01_(t) and basil.n.03_(u) and basil.n.03_(v) and basil.n.03_(w) and basil.n.03_(x) and marjoram.n.02_(y) and granulated_sugar.n.01_(z) and salt.n.02_(a),,stockpot.n.01_(b),inside half__beefsteak_tomato.n.01_(i) stockpot.n.01_(b) and inside half__beefsteak_tomato.n.01_(j) stockpot.n.01_(b) and inside half__beefsteak_tomato.n.01_(k) stockpot.n.01_(b) and inside half__beefsteak_tomato.n.01_(l) stockpot.n.01_(b) and inside half__beefsteak_tomato.n.01_(m) stockpot.n.01_(b) and inside half__beefsteak_tomato.n.01_(n) stockpot.n.01_(b) and inside clove.n.03_(o) stockpot.n.01_(b) and inside clove.n.03_(p) stockpot.n.01_(b) and inside clove.n.03_(q) stockpot.n.01_(b) and inside clove.n.03_(r) stockpot.n.01_(b) and inside clove.n.03_(s) stockpot.n.01_(b) and contains stockpot.n.01_(b) diced__vidalia_onion.n.01_(t) and inside basil.n.03_(u) stockpot.n.01_(b) and inside basil.n.03_(v) stockpot.n.01_(b) and inside basil.n.03_(w) stockpot.n.01_(b) and inside basil.n.03_(x) stockpot.n.01_(b) and contains stockpot.n.01_(b) marjoram.n.02_(y) and contains stockpot.n.01_(b) granulated_sugar.n.01_(z) and contains stockpot.n.01_(b) salt.n.02_(a),oven.n.01_(c),cooked__marinara.n.01_(d),,contains stockpot.n.01_(b) cooked__marinara.n.01_(d),
tomato sauce,0,beefsteak_tomato.n.01_(i) and tomato_paste.n.01_(j) and marjoram.n.02_(k) and clove.n.03_(l) and clove.n.03_(m) and basil.n.03_(n),,stockpot.n.01_(o),inside beefsteak_tomato.n.01_(i) stockpot.n.01_(o) and contains stockpot.n.01_(o) tomato_paste.n.01_(j) and contains stockpot.n.01_(o) marjoram.n.02_(k) and inside clove.n.03_(l) stockpot.n.01_(o) and inside clove.n.03_(m) stockpot.n.01_(o) and inside basil.n.03_(n) stockpot.n.01_(o),stove.n.01_(p),tomato_sauce.n.01_(q),,contains stockpot.n.01_(o) tomato_sauce.n.01_(q),
pizza,0,pizza_dough.n.01_(i) and tomato_sauce.n.01_(j) and grated_cheese.n.01_(k) and pepperoni.n.01_(l) and pepperoni.n.01_(m) and pepperoni.n.01_(n) and pepperoni.n.01_(o) and pepperoni.n.01_(p) and pepperoni.n.01_(q) and pepperoni.n.01_(r) and marjoram.n.02_(s) and half__mushroom.n.01_(t) and half__mushroom.n.01_(u) and half__mushroom.n.01_(v) and half__mushroom.n.01_(w) and half__mushroom.n.01_(x) and half__mushroom.n.01_(y) and half__mushroom.n.01_(z) and half__mushroom.n.01_(a) and half__mushroom.n.01_(b) and half__mushroom.n.01_(c) and diced__vidalia_onion.n.01_(d),not cooked pizza_dough.n.01_(i) and cooked pepperoni.n.01_(l) and cooked pepperoni.n.01_(m) and cooked pepperoni.n.01_(n) and cooked pepperoni.n.01_(o) and cooked pepperoni.n.01_(p) and cooked pepperoni.n.01_(q) and cooked pepperoni.n.01_(r) and not cooked half__mushroom.n.01_(t) and not cooked half__mushroom.n.01_(u) and not cooked half__mushroom.n.01_(v) and not cooked half__mushroom.n.01_(w) and not cooked half__mushroom.n.01_(x) and not cooked half__mushroom.n.01_(y) and not cooked half__mushroom.n.01_(z) and not cooked half__mushroom.n.01_(a) and not cooked half__mushroom.n.01_(b) and not cooked half__mushroom.n.01_(c) and covered pizza_dough.n.01_(i) tomato_sauce.n.01_(j) and covered pizza_dough.n.01_(i) grated_cheese.n.01_(k) and covered pizza_dough.n.01_(i) marjoram.n.02_(s) and covered pizza_dough.n.01_(i) diced__vidalia_onion.n.01_(d) and ontop pepperoni.n.01_(l) pizza_dough.n.01_(i) and ontop pepperoni.n.01_(m) pizza_dough.n.01_(i) and ontop pepperoni.n.01_(n) pizza_dough.n.01_(i) and ontop pepperoni.n.01_(o) pizza_dough.n.01_(i) and ontop pepperoni.n.01_(p) pizza_dough.n.01_(i) and ontop pepperoni.n.01_(q) pizza_dough.n.01_(i) and ontop pepperoni.n.01_(r) pizza_dough.n.01_(i) and ontop half__mushroom.n.01_(t) pizza_dough.n.01_(i) and ontop half__mushroom.n.01_(u) pizza_dough.n.01_(i) and ontop half__mushroom.n.01_(v) pizza_dough.n.01_(i) and ontop half__mushroom.n.01_(w) pizza_dough.n.01_(i) and ontop half__mushroom.n.01_(x) pizza_dough.n.01_(i) and ontop half__mushroom.n.01_(y) pizza_dough.n.01_(i) and ontop half__mushroom.n.01_(z) pizza_dough.n.01_(i) and ontop half__mushroom.n.01_(a) pizza_dough.n.01_(i) and ontop half__mushroom.n.01_(b) pizza_dough.n.01_(i) and ontop half__mushroom.n.01_(c) pizza_dough.n.01_(i),cookie_sheet.n.01_(e),ontop pizza_dough.n.01_(i) cookie_sheet.n.01_(e),oven.n.01_(f),pizza.n.01_(g),cooked pizza.n.01_(g) and hot pizza.n.01_(g),ontop pizza.n.01_(g) cookie_sheet.n.01_(e),
simple_pizza,0,pizza_dough.n.01_(i) and grated_cheese.n.01_(k) and pepperoni.n.01_(l) and half__mushroom.n.01_(t) and diced__vidalia_onion.n.01_(d),covered pizza_dough.n.01_(i) grated_cheese.n.01_(k) and covered pizza_dough.n.01_(i) diced__vidalia_onion.n.01_(d) and ontop pepperoni.n.01_(l) pizza_dough.n.01_(i) and ontop half__mushroom.n.01_(t) pizza_dough.n.01_(i),cookie_sheet.n.01_(e),ontop pizza_dough.n.01_(i) cookie_sheet.n.01_(e),oven.n.01_(f),pizza.n.01_(g),cooked pizza.n.01_(g) and hot pizza.n.01_(g),ontop pizza.n.01_(g) cookie_sheet.n.01_(e),
popsicles,0,smoothie.n.02_(i),,mold.n.02_(j),filled mold.n.02_(j) smoothie.n.02_(i),deep-freeze.n.02_(k),ice_lolly.n.01_(l) and ice_lolly.n.01_(m) and ice_lolly.n.01_(n) and ice_lolly.n.01_(o),,inside ice_lolly.n.01_(l) mold.n.02_(j) and inside ice_lolly.n.01_(m) mold.n.02_(j) and inside ice_lolly.n.01_(n) mold.n.02_(j) and inside ice_lolly.n.01_(o) mold.n.02_(j),
fish_stew,0,diced__bell_pepper.n.01_(i) and diced__clove.n.01_(j) and olive_oil.n.01_(k) and diced__beefsteak_tomato.n.01_(l) and tomato_sauce.n.01_(m) and chicken_broth.n.01_(n) and clam.n.03_(o) and clam.n.03_(p) and clam.n.03_(q) and clam.n.03_(r) and clam.n.03_(s) and clam.n.03_(t) and prawn.n.01_(u) and prawn.n.01_(v) and prawn.n.01_(w) and prawn.n.01_(x) and prawn.n.01_(y) and scallop.n.02_(z) and scallop.n.02_(a) and scallop.n.02_(b) and scallop.n.02_(c) and marjoram.n.02_(d) and parsley.n.02_(e),not cooked clam.n.03_(o) and not cooked clam.n.03_(p) and not cooked clam.n.03_(q) and not cooked clam.n.03_(r) and not cooked clam.n.03_(s) and not cooked clam.n.03_(t) and not cooked prawn.n.01_(u) and not cooked prawn.n.01_(v) and not cooked prawn.n.01_(w) and not cooked prawn.n.01_(x) and not cooked prawn.n.01_(y) and not cooked scallop.n.02_(z) and not cooked scallop.n.02_(a) and not cooked scallop.n.02_(b) and not cooked scallop.n.02_(c),stockpot.n.01_(f),contains stockpot.n.01_(f) diced__bell_pepper.n.01_(i) and contains stockpot.n.01_(f) diced__clove.n.01_(j) and contains stockpot.n.01_(f) olive_oil.n.01_(k) and contains stockpot.n.01_(f) diced__beefsteak_tomato.n.01_(l) and contains stockpot.n.01_(f) tomato_sauce.n.01_(m) and contains stockpot.n.01_(f) chicken_broth.n.01_(n) and contains stockpot.n.01_(f) marjoram.n.02_(d) and contains stockpot.n.01_(f) parsley.n.02_(e) and inside clam.n.03_(o) stockpot.n.01_(f) and inside clam.n.03_(p) stockpot.n.01_(f) and inside clam.n.03_(q) stockpot.n.01_(f) and inside clam.n.03_(r) stockpot.n.01_(f) and inside clam.n.03_(s) stockpot.n.01_(f) and inside clam.n.03_(t) stockpot.n.01_(f) and inside prawn.n.01_(u) stockpot.n.01_(f) and inside prawn.n.01_(v) stockpot.n.01_(f) and inside prawn.n.01_(w) stockpot.n.01_(f) and inside prawn.n.01_(x) stockpot.n.01_(f) and inside prawn.n.01_(y) stockpot.n.01_(f) and inside scallop.n.02_(z) stockpot.n.01_(f) and inside scallop.n.02_(a) stockpot.n.01_(f) and inside scallop.n.02_(b) stockpot.n.01_(f) and inside scallop.n.02_(c) stockpot.n.01_(f),stove.n.01_(g),fish_stew.n.01_(h),,contains stockpot.n.01_(f) fish_stew.n.01_(h),
chicken_soup,0,chicken_broth.n.01_(i) and diced__carrot.n.01_(j) and diced__celery.n.01_(k) and chicken.n.01_(l) and salt.n.02_(m) and rosemary.n.02_(n),not cooked chicken.n.01_(l),stockpot.n.01_(o),contains stockpot.n.01_(o) chicken_broth.n.01_(i) and contains stockpot.n.01_(o) diced__carrot.n.01_(j) and contains stockpot.n.01_(o) diced__celery.n.01_(k) and contains stockpot.n.01_(o) salt.n.02_(m) and contains stockpot.n.01_(o) rosemary.n.02_(n) and inside chicken.n.01_(l) stockpot.n.01_(o),stove.n.01_(p),cooked__chicken_soup.n.01_(p),,contains stockpot.n.01_(o) cooked__chicken_soup.n.01_(p),
beef_stew,0,diced__carrot.n.01_(i) and pea.n.01_(j) and diced__vidalia_onion.n.01_(k) and ground_beef.n.01_(l) and beef_broth.n.01_(m),,stockpot.n.01_(o),contains stockpot.n.01_(o) diced__carrot.n.01_(i) and contains stockpot.n.01_(o) pea.n.01_(j) and contains stockpot.n.01_(o) diced__vidalia_onion.n.01_(k) and contains stockpot.n.01_(o) ground_beef.n.01_(l) and contains stockpot.n.01_(o) beef_broth.n.01_(m),stove.n.01_(n),beef_stew.n.01_(p),,contains stockpot.n.01_(o) beef_stew.n.01_(p),
brownie,0,brownie_batter.n.01_(i),,cookie_sheet.n.01_(k),filled cookie_sheet.n.01_(k) brownie_batter.n.01_(i),oven.n.01_(j),brownie.n.03_(l) and brownie.n.03_(m) and brownie.n.03_(n) and brownie.n.03_(o) and brownie.n.03_(p) and brownie.n.03_(q),cooked brownie.n.03_(l) and cooked brownie.n.03_(m) and cooked brownie.n.03_(n) and cooked brownie.n.03_(o) and cooked brownie.n.03_(p) and cooked brownie.n.03_(q),ontop brownie.n.03_(l) cookie_sheet.n.01_(k) and ontop brownie.n.03_(m) cookie_sheet.n.01_(k) and ontop brownie.n.03_(n) cookie_sheet.n.01_(k) and ontop brownie.n.03_(o) cookie_sheet.n.01_(k) and brownie.n.03_(p) cookie_sheet.n.01_(k) and ontop brownie.n.03_(q) cookie_sheet.n.01_(k),
chocolate_biscuit,0,chocolate_cookie_dough.n.01_(i),not cooked chocolate_cookie_dough.n.01_(i),cookie_sheet.n.01_(j),ontop chocolate_cookie_dough.n.01_(i) cookie_sheet.n.01_(j),oven.n.01_(k),chocolate_biscuit.n.01_(l) and chocolate_biscuit.n.01_(m) and chocolate_biscuit.n.01_(n) and chocolate_biscuit.n.01_(o) and chocolate_biscuit.n.01_(p) and chocolate_biscuit.n.01_(q),cooked chocolate_biscuit.n.01_(l) and cooked chocolate_biscuit.n.01_(m) and cooked chocolate_biscuit.n.01_(n) and cooked chocolate_biscuit.n.01_(o) and cooked chocolate_biscuit.n.01_(p) and cooked chocolate_biscuit.n.01_(q),ontop chocolate_biscuit.n.01_(l) cookie_sheet.n.01_(k) and ontop chocolate_biscuit.n.01_(m) cookie_sheet.n.01_(k) and ontop chocolate_biscuit.n.01_(n) cookie_sheet.n.01_(k) and ontop chocolate_biscuit.n.01_(o) cookie_sheet.n.01_(k) and ontop chocolate_biscuit.n.01_(p) cookie_sheet.n.01_(k) and ontop chocolate_biscuit.n.01_(q) cookie_sheet.n.01_(k),
white_wine_sauce,0,heavy_cream.n.01_(i) and white_wine.n.01_(j) and flour.n.01_(k),,saucepan.n.01_(l),contains saucepan.n.01_(l) heavy_cream.n.01_(i) and contains saucepan.n.01_(l) white_wine.n.01_(j) and contains saucepan.n.01_(l) flour.n.01_(k),stove.n.01_(m),cooked__wine_sauce.n.01_(n),,contains saucepan.n.01_(l) cooked__wine_sauce.n.01_(n),
